session_id,user_id,flight_id,origin,destination,action,relevance,utility_gt,position_shown
S00000003,U00000,FL264215,Kolkata,Mumbai,ignore,0,0.5032,1
S00000003,U00000,FL265627,Kolkata,Mumbai,click,1,0.4387,2
S00000003,U00000,FL132441,Kolkata,Mumbai,ignore,0,0.6227,3
S00000003,U00000,FL266316,Kolkata,Mumbai,click,1,0.5341,4
S00000003,U00000,FL264164,Kolkata,Mumbai,ignore,0,0.4832,5
S00000003,U00000,FL264140,Kolkata,Mumbai,ignore,0,0.4916,6
S00000003,U00000,FL263979,Kolkata,Mumbai,click,1,0.5273,7
S00000003,U00000,FL132133,Kolkata,Mumbai,click,1,0.6513,8
S00000003,U00000,FL129842,Kolkata,Mumbai,click,1,0.7129,9
S00000004,U00000,FL026009,Delhi,Kolkata,click,1,0.6352,0
S00000004,U00000,FL022277,Delhi,Kolkata,click,1,0.6727,1
S00000004,U00000,FL216946,Delhi,Kolkata,ignore,0,0.4669,2
S00000004,U00000,FL023318,Delhi,Kolkata,click,1,0.7006,3
S00000004,U00000,FL218023,Delhi,Kolkata,click,1,0.4199,4
S00000004,U00000,FL218291,Delhi,Kolkata,click,1,0.4326,5
S00000004,U00000,FL218879,Delhi,Kolkata,ignore,0,0.4882,6
S00000004,U00000,FL023448,Delhi,Kolkata,click,1,0.6361,7
S00000004,U00000,FL217424,Delhi,Kolkata,click,1,0.4925,8
S00000004,U00000,FL218876,Delhi,Kolkata,click,1,0.4828,9
S00000005,U00000,FL064674,Mumbai,Kolkata,book,2,0.686,0
S00000005,U00000,FL064365,Mumbai,Kolkata,click,1,0.8361,1
S00000005,U00000,FL237422,Mumbai,Kolkata,click,1,0.4937,2
S00000005,U00000,FL234690,Mumbai,Kolkata,ignore,0,0.4877,3
S00000005,U00000,FL070041,Mumbai,Kolkata,click,1,0.7222,4
S00000005,U00000,FL069101,Mumbai,Kolkata,click,1,0.6923,5
S00000005,U00000,FL066573,Mumbai,Kolkata,click,1,0.7153,6
S00000005,U00000,FL064056,Mumbai,Kolkata,ignore,0,0.5528,7
S00000005,U00000,FL068767,Mumbai,Kolkata,click,1,0.7271,8
S00000006,U00000,FL082724,Mumbai,Chennai,book,2,0.8503,0
S00000006,U00000,FL081890,Mumbai,Chennai,click,1,0.7173,1
S00000006,U00000,FL244527,Mumbai,Chennai,ignore,0,0.5321,2
S00000006,U00000,FL242086,Mumbai,Chennai,click,1,0.508,3
S00000006,U00000,FL242737,Mumbai,Chennai,ignore,0,0.5137,4
S00000006,U00000,FL081269,Mumbai,Chennai,click,1,0.7355,5
S00000006,U00000,FL080758,Mumbai,Chennai,click,1,0.6614,6
S00000006,U00000,FL243518,Mumbai,Chennai,ignore,0,0.5038,7
S00000006,U00000,FL078908,Mumbai,Chennai,click,1,0.6054,8
S00000007,U00001,FL004704,Delhi,Mumbai,ignore,0,0.7598,0
S00000007,U00001,FL008758,Delhi,Mumbai,book,2,0.9141,1
S00000007,U00001,FL009874,Delhi,Mumbai,click,1,0.8006,2
S00000007,U00001,FL000855,Delhi,Mumbai,click,1,0.7993,3
S00000007,U00001,FL003245,Delhi,Mumbai,click,1,0.8027,4
S00000007,U00001,FL210122,Delhi,Mumbai,ignore,0,0.5126,5
S00000007,U00001,FL002088,Delhi,Mumbai,click,1,0.8736,6
S00000007,U00001,FL003721,Delhi,Mumbai,ignore,0,0.7745,7
S00000008,U00001,FL101316,Bangalore,Mumbai,book,2,0.8724,0
S00000008,U00001,FL250398,Bangalore,Mumbai,click,1,0.5295,1
S00000008,U00001,FL252120,Bangalore,Mumbai,ignore,0,0.425,2
S00000008,U00001,FL252149,Bangalore,Mumbai,ignore,0,0.4738,3
S00000008,U00001,FL094589,Bangalore,Mumbai,ignore,0,0.7733,4
S00000008,U00001,FL095605,Bangalore,Mumbai,click,1,0.8322,5
S00000008,U00001,FL249914,Bangalore,Mumbai,ignore,0,0.5104,6
S00000008,U00001,FL101878,Bangalore,Mumbai,click,1,0.8387,7
S00000008,U00001,FL099906,Bangalore,Mumbai,click,1,0.818,8
S00000008,U00001,FL097763,Bangalore,Mumbai,click,1,0.8724,9
S00000008,U00001,FL252751,Bangalore,Mumbai,ignore,0,0.4706,10
S00000008,U00001,FL099832,Bangalore,Mumbai,click,1,0.8724,11
S00000008,U00001,FL096600,Bangalore,Mumbai,ignore,0,0.7393,12
S00000009,U00001,FL061942,Mumbai,Kolkata,click,1,0.7372,0
S00000009,U00001,FL061799,Mumbai,Kolkata,click,1,0.7282,1
S00000009,U00001,FL061724,Mumbai,Kolkata,book,2,0.8048,2
S00000009,U00001,FL063280,Mumbai,Kolkata,click,1,0.7637,3
S00000009,U00001,FL064185,Mumbai,Kolkata,click,1,0.7518,4
S00000009,U00001,FL237063,Mumbai,Kolkata,ignore,0,0.5303,5
S00000009,U00001,FL067009,Mumbai,Kolkata,click,1,0.8169,6
S00000009,U00001,FL062772,Mumbai,Kolkata,click,1,0.6798,7
S00000009,U00001,FL068577,Mumbai,Kolkata,click,1,0.7363,8
S00000009,U00001,FL065884,Mumbai,Kolkata,click,1,0.7123,9
S00000009,U00001,FL062287,Mumbai,Kolkata,click,1,0.7502,10
S00000009,U00001,FL236295,Mumbai,Kolkata,ignore,0,0.5032,11
S00000010,U00001,FL019495,Delhi,Bangalore,click,1,0.8166,0
S00000010,U00001,FL017320,Delhi,Bangalore,ignore,0,0.8055,1
S00000010,U00001,FL017548,Delhi,Bangalore,book,2,0.7898,2
S00000010,U00001,FL212785,Delhi,Bangalore,click,1,0.5639,3
S00000010,U00001,FL016308,Delhi,Bangalore,click,1,0.9075,4
S00000010,U00001,FL014176,Delhi,Bangalore,click,1,0.804,5
S00000010,U00001,FL014025,Delhi,Bangalore,click,1,0.8135,6
S00000010,U00001,FL010155,Delhi,Bangalore,click,1,0.733,7
S00000010,U00001,FL016602,Delhi,Bangalore,click,1,0.8292,8
S00000010,U00001,FL213415,Delhi,Bangalore,ignore,0,0.4695,9
S00000011,U00001,FL149549,Kolkata,Chennai,click,1,0.7611,0
S00000011,U00001,FL274458,Kolkata,Chennai,ignore,0,0.4684,1
S00000011,U00001,FL149605,Kolkata,Chennai,click,1,0.7397,2
S00000011,U00001,FL148972,Kolkata,Chennai,book,2,0.7486,3
S00000011,U00001,FL273110,Kolkata,Chennai,click,1,0.4788,4
S00000011,U00001,FL151163,Kolkata,Chennai,click,1,0.8266,5
S00000011,U00001,FL149685,Kolkata,Chennai,click,1,0.8614,6
S00000011,U00001,FL150118,Kolkata,Chennai,click,1,0.7979,7
S00000012,U00001,FL081386,Mumbai,Chennai,click,1,0.8207,0
S00000012,U00001,FL083409,Mumbai,Chennai,click,1,0.8161,1
S00000012,U00001,FL079554,Mumbai,Chennai,click,1,0.8256,2
S00000012,U00001,FL077714,Mumbai,Chennai,click,1,0.7152,3
S00000012,U00001,FL078229,Mumbai,Chennai,click,1,0.686,4
S00000013,U00001,FL136650,Kolkata,Bangalore,book,2,0.7933,0
S00000013,U00001,FL135953,Kolkata,Bangalore,click,1,0.7986,1
S00000013,U00001,FL141813,Kolkata,Bangalore,click,1,0.7919,2
S00000013,U00001,FL136552,Kolkata,Bangalore,ignore,0,0.6996,3
S00000013,U00001,FL141111,Kolkata,Bangalore,click,1,0.7086,4
S00000013,U00001,FL139093,Kolkata,Bangalore,click,1,0.83,5
S00000013,U00001,FL140777,Kolkata,Bangalore,click,1,0.7655,6
S00000014,U00001,FL230019,Mumbai,Bangalore,ignore,0,0.3763,0
S00000014,U00001,FL059763,Mumbai,Bangalore,click,1,0.7893,1
S00000014,U00001,FL057878,Mumbai,Bangalore,click,1,0.8852,2
S00000014,U00001,FL055416,Mumbai,Bangalore,ignore,0,0.8849,3
S00000014,U00001,FL231468,Mumbai,Bangalore,book,2,0.6533,4
S00000014,U00001,FL232409,Mumbai,Bangalore,ignore,0,0.509,5
S00000014,U00001,FL054848,Mumbai,Bangalore,ignore,0,0.7907,6
S00000014,U00001,FL055638,Mumbai,Bangalore,click,1,0.7447,7
S00000015,U00001,FL287063,Hyderabad,Chennai,click,1,0.4725,0
S00000015,U00001,FL287418,Hyderabad,Chennai,ignore,0,0.4752,1
S00000015,U00001,FL177559,Hyderabad,Chennai,click,1,0.7366,2
S00000015,U00001,FL180274,Hyderabad,Chennai,ignore,0,0.8742,3
S00000015,U00001,FL178138,Hyderabad,Chennai,book,2,0.7765,4
S00000015,U00001,FL286077,Hyderabad,Chennai,click,1,0.4394,5
S00000015,U00001,FL286468,Hyderabad,Chennai,ignore,0,0.425,6
S00000015,U00001,FL178721,Hyderabad,Chennai,ignore,0,0.7553,7
S00000015,U00001,FL178491,Hyderabad,Chennai,click,1,0.7617,8
S00000015,U00001,FL177228,Hyderabad,Chennai,click,1,0.8291,9
S00000015,U00001,FL178360,Hyderabad,Chennai,click,1,0.8394,10
S00000015,U00001,FL176637,Hyderabad,Chennai,click,1,0.7822,11
S00000015,U00001,FL179589,Hyderabad,Chennai,click,1,0.7942,12
S00000015,U00001,FL287059,Hyderabad,Chennai,click,1,0.5125,13
S00000016,U00001,FL162965,Hyderabad,Mumbai,book,2,0.79,0
S00000016,U00001,FL158783,Hyderabad,Mumbai,click,1,0.7036,1
S00000016,U00001,FL278035,Hyderabad,Mumbai,click,1,0.5025,2
S00000016,U00001,FL159097,Hyderabad,Mumbai,click,1,0.8251,3
S00000016,U00001,FL162580,Hyderabad,Mumbai,click,1,0.7465,4
S00000016,U00001,FL160964,Hyderabad,Mumbai,click,1,0.8109,5
S00000016,U00001,FL160350,Hyderabad,Mumbai,click,1,0.7016,6
S00000017,U00002,FL241214,Mumbai,Hyderabad,ignore,0,0.4648,0
S00000017,U00002,FL075256,Mumbai,Hyderabad,ignore,0,0.7412,1
S00000017,U00002,FL238843,Mumbai,Hyderabad,ignore,0,0.5233,2
S00000017,U00002,FL240108,Mumbai,Hyderabad,ignore,0,0.4682,3
S00000017,U00002,FL241285,Mumbai,Hyderabad,ignore,0,0.4616,4
S00000017,U00002,FL238665,Mumbai,Hyderabad,ignore,0,0.4473,5
S00000017,U00002,FL070345,Mumbai,Hyderabad,book,2,0.7935,6
S00000017,U00002,FL070702,Mumbai,Hyderabad,ignore,0,0.6689,7
S00000017,U00002,FL240145,Mumbai,Hyderabad,ignore,0,0.4491,8
S00000017,U00002,FL238521,Mumbai,Hyderabad,ignore,0,0.4767,9
S00000017,U00002,FL239387,Mumbai,Hyderabad,click,1,0.4328,10
S00000017,U00002,FL071646,Mumbai,Hyderabad,click,1,0.8138,11
S00000017,U00002,FL240760,Mumbai,Hyderabad,ignore,0,0.4163,12
S00000017,U00002,FL073621,Mumbai,Hyderabad,click,1,0.803,13
S00000018,U00002,FL036073,Delhi,Chennai,book,2,0.7504,0
S00000018,U00002,FL037501,Delhi,Chennai,click,1,0.7423,1
S00000018,U00002,FL223449,Delhi,Chennai,click,1,0.4485,2
S00000018,U00002,FL224306,Delhi,Chennai,ignore,0,0.4337,3
S00000018,U00002,FL223081,Delhi,Chennai,click,1,0.4699,4
S00000019,U00002,FL147529,Kolkata,Hyderabad,click,1,0.8041,0
S00000019,U00002,FL270799,Kolkata,Hyderabad,ignore,0,0.4856,1
S00000019,U00002,FL144091,Kolkata,Hyderabad,ignore,0,0.7268,2
S00000019,U00002,FL144493,Kolkata,Hyderabad,click,1,0.718,3
S00000019,U00002,FL270510,Kolkata,Hyderabad,click,1,0.3884,4
S00000019,U00002,FL145576,Kolkata,Hyderabad,book,2,0.6881,5
S00000019,U00002,FL145563,Kolkata,Hyderabad,click,1,0.7808,6
S00000019,U00002,FL145457,Kolkata,Hyderabad,click,1,0.6873,7
S00000020,U00002,FL240678,Mumbai,Hyderabad,ignore,0,0.4131,0
S00000020,U00002,FL076144,Mumbai,Hyderabad,click,1,0.7338,1
S00000020,U00002,FL239546,Mumbai,Hyderabad,book,2,0.4419,2
S00000020,U00002,FL076706,Mumbai,Hyderabad,click,1,0.6667,3
S00000020,U00002,FL239788,Mumbai,Hyderabad,ignore,0,0.4084,4
S00000020,U00002,FL076370,Mumbai,Hyderabad,click,1,0.7911,5
S00000021,U00002,FL152256,Kolkata,Chennai,click,1,0.7671,0
S00000021,U00002,FL149438,Kolkata,Chennai,click,1,0.7853,1
S00000021,U00002,FL149076,Kolkata,Chennai,ignore,0,0.705,2
S00000021,U00002,FL274742,Kolkata,Chennai,click,1,0.432,3
S00000021,U00002,FL149221,Kolkata,Chennai,click,1,0.7161,4
S00000021,U00002,FL149097,Kolkata,Chennai,book,2,0.7409,5
S00000021,U00002,FL274382,Kolkata,Chennai,click,1,0.4382,6
S00000021,U00002,FL272835,Kolkata,Chennai,ignore,0,0.4576,7
S00000021,U00002,FL150630,Kolkata,Chennai,click,1,0.77,8
S00000021,U00002,FL274277,Kolkata,Chennai,click,1,0.4507,9
S00000022,U00002,FL168067,Hyderabad,Bangalore,click,1,0.7278,0
S00000022,U00002,FL166602,Hyderabad,Bangalore,ignore,0,0.804,1
S00000022,U00002,FL280428,Hyderabad,Bangalore,ignore,0,0.473,2
S00000022,U00002,FL170379,Hyderabad,Bangalore,click,1,0.755,3
S00000022,U00002,FL282727,Hyderabad,Bangalore,ignore,0,0.5046,4
S00000022,U00002,FL169768,Hyderabad,Bangalore,click,1,0.7954,5
S00000022,U00002,FL167200,Hyderabad,Bangalore,ignore,0,0.8801,6
S00000023,U00002,FL269550,Kolkata,Bangalore,ignore,0,0.4395,0
S00000023,U00002,FL140367,Kolkata,Bangalore,click,1,0.6914,1
S00000023,U00002,FL136806,Kolkata,Bangalore,book,2,0.7391,2
S00000023,U00002,FL140867,Kolkata,Bangalore,click,1,0.7331,3
S00000023,U00002,FL136885,Kolkata,Bangalore,click,1,0.8015,4
S00000023,U00002,FL138716,Kolkata,Bangalore,click,1,0.6735,5
S00000023,U00002,FL142159,Kolkata,Bangalore,click,1,0.681,6
S00000023,U00002,FL269651,Kolkata,Bangalore,ignore,0,0.4573,7
S00000023,U00002,FL269052,Kolkata,Bangalore,ignore,0,0.4395,8
S00000023,U00002,FL269762,Kolkata,Bangalore,ignore,0,0.478,9
S00000023,U00002,FL140788,Kolkata,Bangalore,click,1,0.7237,10
S00000023,U00002,FL268731,Kolkata,Bangalore,click,1,0.4556,11
S00000023,U00002,FL270128,Kolkata,Bangalore,ignore,0,0.4407,12
S00000023,U00002,FL138933,Kolkata,Bangalore,click,1,0.7318,13
S00000024,U00002,FL105559,Bangalore,Kolkata,ignore,0,0.753,0
S00000024,U00002,FL107918,Bangalore,Kolkata,ignore,0,0.7125,1
S00000024,U00002,FL253892,Bangalore,Kolkata,ignore,0,0.4347,2
S00000024,U00002,FL107702,Bangalore,Kolkata,ignore,0,0.7219,3
S00000024,U00002,FL107391,Bangalore,Kolkata,click,1,0.7486,4
S00000024,U00002,FL104635,Bangalore,Kolkata,click,1,0.8717,5
S00000024,U00002,FL103367,Bangalore,Kolkata,click,1,0.7171,6
S00000024,U00002,FL106952,Bangalore,Kolkata,book,2,0.7316,7
S00000025,U00002,FL299478,Chennai,Hyderabad,ignore,0,0.4399,0
S00000025,U00002,FL206065,Chennai,Hyderabad,click,1,0.7358,1
S00000025,U00002,FL203672,Chennai,Hyderabad,click,1,0.6678,2
S00000025,U00002,FL205830,Chennai,Hyderabad,click,1,0.8139,3
S00000025,U00002,FL299303,Chennai,Hyderabad,click,1,0.4234,4
S00000026,U00002,FL118313,Bangalore,Chennai,click,1,0.7241,0
S00000026,U00002,FL117778,Bangalore,Chennai,click,1,0.6824,1
S00000026,U00002,FL117183,Bangalore,Chennai,click,1,0.7859,2
S00000026,U00002,FL260982,Bangalore,Chennai,ignore,0,0.483,3
S00000026,U00002,FL260749,Bangalore,Chennai,ignore,0,0.4168,4
S00000026,U00002,FL119469,Bangalore,Chennai,ignore,0,0.726,5
S00000026,U00002,FL259979,Bangalore,Chennai,click,1,0.4557,6
S00000026,U00002,FL259948,Bangalore,Chennai,ignore,0,0.4203,7
S00000026,U00002,FL117982,Bangalore,Chennai,click,1,0.6954,8
S00000026,U00002,FL118350,Bangalore,Chennai,click,1,0.7142,9
S00000026,U00002,FL119683,Bangalore,Chennai,book,2,0.7142,10
S00000026,U00002,FL118477,Bangalore,Chennai,ignore,0,0.6721,11
S00000026,U00002,FL118921,Bangalore,Chennai,click,1,0.7087,12
S00000027,U00002,FL294637,Chennai,Bangalore,ignore,0,0.4241,0
S00000027,U00002,FL194851,Chennai,Bangalore,ignore,0,0.7211,1
S00000027,U00002,FL294089,Chennai,Bangalore,ignore,0,0.4751,2
S00000027,U00002,FL294662,Chennai,Bangalore,click,1,0.4131,3
S00000027,U00002,FL194887,Chennai,Bangalore,click,1,0.6729,4
S00000027,U00002,FL194559,Chennai,Bangalore,click,1,0.666,5
S00000027,U00002,FL295111,Chennai,Bangalore,ignore,0,0.4363,6
S00000027,U00002,FL194321,Chennai,Bangalore,click,1,0.7931,7
S00000028,U00002,FL070049,Mumbai,Kolkata,ignore,0,0.7322,0
S00000028,U00002,FL236202,Mumbai,Kolkata,ignore,0,0.4621,1
S00000028,U00002,FL068746,Mumbai,Kolkata,click,1,0.8024,2
S00000028,U00002,FL069433,Mumbai,Kolkata,ignore,0,0.7867,3
S00000028,U00002,FL064779,Mumbai,Kolkata,click,1,0.7549,4
S00000028,U00002,FL063922,Mumbai,Kolkata,click,1,0.6918,5
S00000029,U00002,FL086439,Bangalore,Delhi,click,1,0.6659,0
S00000029,U00002,FL092985,Bangalore,Delhi,ignore,0,0.7047,1
S00000029,U00002,FL245650,Bangalore,Delhi,click,1,0.4577,2
S00000029,U00002,FL090375,Bangalore,Delhi,ignore,0,0.8068,3
S00000029,U00002,FL247762,Bangalore,Delhi,ignore,0,0.4572,4
S00000029,U00002,FL093469,Bangalore,Delhi,click,1,0.7438,5
S00000029,U00002,FL087681,Bangalore,Delhi,click,1,0.7438,6
S00000030,U00003,FL297921,Chennai,Kolkata,click,1,0.5762,0
S00000030,U00003,FL296600,Chennai,Kolkata,ignore,0,0.5177,1
S00000030,U00003,FL197934,Chennai,Kolkata,ignore,0,0.4989,2
S00000030,U00003,FL200111,Chennai,Kolkata,click,1,0.5149,3
S00000030,U00003,FL201754,Chennai,Kolkata,book,2,0.5255,4
S00000030,U00003,FL297739,Chennai,Kolkata,ignore,0,0.5066,5
S00000030,U00003,FL297951,Chennai,Kolkata,ignore,0,0.5066,6
S00000030,U00003,FL199315,Chennai,Kolkata,click,1,0.5279,7
S00000030,U00003,FL200439,Chennai,Kolkata,click,1,0.4756,8
S00000030,U00003,FL199129,Chennai,Kolkata,click,1,0.4064,9
S00000030,U00003,FL201741,Chennai,Kolkata,ignore,0,0.5068,10
S00000030,U00003,FL198952,Chennai,Kolkata,click,1,0.4988,11
S00000030,U00003,FL297134,Chennai,Kolkata,click,1,0.5692,12
S00000031,U00003,FL156758,Hyderabad,Delhi,click,1,0.5072,0
S00000031,U00003,FL154544,Hyderabad,Delhi,click,1,0.7997,1
S00000031,U00003,FL274879,Hyderabad,Delhi,click,1,0.5004,2
S00000031,U00003,FL275856,Hyderabad,Delhi,click,1,0.5428,3
S00000031,U00003,FL274820,Hyderabad,Delhi,ignore,0,0.5426,4
S00000031,U00003,FL156342,Hyderabad,Delhi,click,1,0.5104,5
S00000031,U00003,FL154286,Hyderabad,Delhi,ignore,0,0.55,6
S00000031,U00003,FL154020,Hyderabad,Delhi,click,1,0.5471,7
S00000031,U00003,FL156899,Hyderabad,Delhi,ignore,0,0.497,8
S00000031,U00003,FL276041,Hyderabad,Delhi,click,1,0.6894,9
S00000032,U00003,FL137427,Kolkata,Bangalore,click,1,0.6591,0
S00000032,U00003,FL140902,Kolkata,Bangalore,book,2,0.645,1
S00000032,U00003,FL137183,Kolkata,Bangalore,ignore,0,0.6403,2
S00000032,U00003,FL138359,Kolkata,Bangalore,click,1,0.4709,3
S00000032,U00003,FL135981,Kolkata,Bangalore,ignore,0,0.4473,4
S00000032,U00003,FL269497,Kolkata,Bangalore,click,1,0.5278,5
S00000032,U00003,FL139341,Kolkata,Bangalore,ignore,0,0.4561,6
S00000032,U00003,FL142473,Kolkata,Bangalore,click,1,0.4471,7
S00000032,U00003,FL269576,Kolkata,Bangalore,click,1,0.4977,8
S00000033,U00003,FL045991,Mumbai,Delhi,click,1,0.5263,0
S00000033,U00003,FL226737,Mumbai,Delhi,ignore,0,0.5913,1
S00000033,U00003,FL052581,Mumbai,Delhi,ignore,0,0.5412,2
S00000033,U00003,FL228300,Mumbai,Delhi,click,1,0.691,3
S00000033,U00003,FL051244,Mumbai,Delhi,ignore,0,0.5502,4
S00000033,U00003,FL051255,Mumbai,Delhi,ignore,0,0.5188,5
S00000033,U00003,FL046966,Mumbai,Delhi,ignore,0,0.5529,6
S00000033,U00003,FL048942,Mumbai,Delhi,ignore,0,0.5473,7
S00000033,U00003,FL052163,Mumbai,Delhi,click,1,0.6342,8
S00000033,U00003,FL048316,Mumbai,Delhi,ignore,0,0.5071,9
S00000033,U00003,FL228122,Mumbai,Delhi,click,1,0.5768,10
S00000033,U00003,FL226548,Mumbai,Delhi,click,1,0.4727,11
S00000034,U00003,FL124963,Kolkata,Delhi,ignore,0,0.6445,0
S00000034,U00003,FL126565,Kolkata,Delhi,ignore,0,0.5183,1
S00000034,U00003,FL125372,Kolkata,Delhi,click,1,0.5135,2
S00000034,U00003,FL126357,Kolkata,Delhi,ignore,0,0.4966,3
S00000034,U00003,FL123058,Kolkata,Delhi,click,1,0.5134,4
S00000034,U00003,FL122166,Kolkata,Delhi,click,1,0.4769,5
S00000034,U00003,FL262359,Kolkata,Delhi,ignore,0,0.5017,6
S00000034,U00003,FL262743,Kolkata,Delhi,book,2,0.5747,7
S00000034,U00003,FL121339,Kolkata,Delhi,click,1,0.4501,8
S00000035,U00003,FL157384,Hyderabad,Delhi,ignore,0,0.5294,0
S00000035,U00003,FL154563,Hyderabad,Delhi,click,1,0.55,1
S00000035,U00003,FL153695,Hyderabad,Delhi,ignore,0,0.5114,2
S00000035,U00003,FL275348,Hyderabad,Delhi,ignore,0,0.553,3
S00000035,U00003,FL157118,Hyderabad,Delhi,ignore,0,0.5154,4
S00000035,U00003,FL155757,Hyderabad,Delhi,ignore,0,0.4831,5
S00000035,U00003,FL154185,Hyderabad,Delhi,click,1,0.4815,6
S00000035,U00003,FL157963,Hyderabad,Delhi,click,1,0.5099,7
S00000035,U00003,FL156264,Hyderabad,Delhi,ignore,0,0.4644,8
S00000035,U00003,FL154004,Hyderabad,Delhi,ignore,0,0.4669,9
S00000035,U00003,FL156531,Hyderabad,Delhi,ignore,0,0.4758,10
S00000035,U00003,FL153881,Hyderabad,Delhi,ignore,0,0.4784,11
S00000036,U00003,FL290251,Chennai,Delhi,ignore,0,0.5384,0
S00000036,U00003,FL289398,Chennai,Delhi,ignore,0,0.5384,1
S00000036,U00003,FL181555,Chennai,Delhi,book,2,0.53,2
S00000036,U00003,FL289740,Chennai,Delhi,ignore,0,0.516,3
S00000036,U00003,FL187007,Chennai,Delhi,click,1,0.4501,4
S00000036,U00003,FL184888,Chennai,Delhi,click,1,0.5197,5
S00000036,U00003,FL289707,Chennai,Delhi,click,1,0.4926,6
S00000036,U00003,FL183391,Chennai,Delhi,ignore,0,0.5446,7
S00000037,U00003,FL152943,Hyderabad,Delhi,book,2,0.5168,0
S00000037,U00003,FL154000,Hyderabad,Delhi,ignore,0,0.492,1
S00000037,U00003,FL275076,Hyderabad,Delhi,ignore,0,0.5537,2
S00000037,U00003,FL156584,Hyderabad,Delhi,click,1,0.6298,3
S00000037,U00003,FL153745,Hyderabad,Delhi,click,1,0.4948,4
S00000037,U00003,FL276609,Hyderabad,Delhi,click,1,0.5509,5
S00000037,U00003,FL158399,Hyderabad,Delhi,click,1,0.4771,6
S00000037,U00003,FL157890,Hyderabad,Delhi,click,1,0.6261,7
S00000037,U00003,FL156303,Hyderabad,Delhi,click,1,0.5223,8
S00000037,U00003,FL152879,Hyderabad,Delhi,ignore,0,0.6272,9
S00000037,U00003,FL153807,Hyderabad,Delhi,click,1,0.6273,10
S00000037,U00003,FL276871,Hyderabad,Delhi,ignore,0,0.5459,11
S00000038,U00003,FL270554,Kolkata,Hyderabad,ignore,0,0.5078,0
S00000038,U00003,FL142989,Kolkata,Hyderabad,ignore,0,0.4619,1
S00000038,U00003,FL146195,Kolkata,Hyderabad,click,1,0.5127,2
S00000038,U00003,FL270283,Kolkata,Hyderabad,ignore,0,0.5015,3
S00000038,U00003,FL272373,Kolkata,Hyderabad,ignore,0,0.5182,4
S00000039,U00003,FL298050,Chennai,Kolkata,click,1,0.5484,0
S00000039,U00003,FL296062,Chennai,Kolkata,ignore,0,0.5066,1
S00000039,U00003,FL200869,Chennai,Kolkata,ignore,0,0.5143,2
S00000039,U00003,FL200822,Chennai,Kolkata,ignore,0,0.5065,3
S00000039,U00003,FL296932,Chennai,Kolkata,ignore,0,0.5484,4
S00000039,U00003,FL297359,Chennai,Kolkata,click,1,0.4719,5
S00000040,U00003,FL147518,Kolkata,Hyderabad,click,1,0.6301,0
S00000040,U00003,FL270633,Kolkata,Hyderabad,click,1,0.4771,1
S00000040,U00003,FL271642,Kolkata,Hyderabad,ignore,0,0.5142,2
